,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
02/04/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LAS CARMELITAS,22789 RN,VIVIENDAS,3317.64,204366624
02/04/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ALMA ROSA I,93928,APARTAMENTOS,8766,539985600
02/04/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,REPARTO PATRIA MELLA O EL HOYO,93931,APARTAMENTOS,2509.27,154571032
02/07/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS PRADOS,93929,APARTAMENTOS,1440,88704000
02/07/2022,FEBRERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN PARAÍSO DE CANABACOA,22790 RN,VIVIENDAS,161.45,9945320
02/07/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,BRISAS DEL ESTE,22791 RN,APARTAMENTOS,352.44,21710304
02/08/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,RESIDENCIAL BRISAS DEL NORTE,22792 RN,APARTAMENTOS,1346.67,82954872
02/08/2022,FEBRERO,2022,SANTIAGO,TAMBORIL,PALMAS DEL VALLE,22793 RN,VIVIENDAS,275.98,17000368
02/08/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,COLINAS DE ENGOMBE,93932,APARTAMENTOS,453.2,27917120
02/09/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,JARDINES DEL SUR,93934,APARTAMENTOS,1043.09,64254344
02/09/2022,FEBRERO,2022,SANTIAGO,PUÑAL,PUÑAL,22755 RN,ESTRUCTURAS ESPECIALES,15391.4,948110240
02/09/2022,FEBRERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,22581-A RN,APARTAMENTOS,0,0
02/10/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,RENACIMIENTO,93374-A,COMERCIAL Y OFICINAS,405.09,24953544
02/10/2022,FEBRERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN CAONABO,335 RNE,APARTAMENTOS,604,37206400
02/10/2022,FEBRERO,2022,LA ALTAGRACIA,HIGÜEY,BÁVARO,93933,ESTACIÓN DE COMBUSTIBLE,1045.29,64389864
02/10/2022,FEBRERO,2022,SAMANÁ,LAS TERRENAS,LA BONITA,93935,VIVIENDAS,484.23,29828568
02/10/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ENSANCHE OZAMA,93936,CENTROS DE SALUD,1415.83,87215128
02/11/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS PRADOS,93938,APARTAMENTOS,1806.14,111258224
02/11/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,MIRAMAR,93940,APARTAMENTOS,1264.02,77863632
02/11/2022,FEBRERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN CARMEN AÑIL BONÓ,337 RNE,APARTAMENTOS,4932.16,303821056
02/11/2022,FEBRERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN COUNTRY CLUB LAS CAOBAS,336 RNE,APARTAMENTOS,855.67,52709272
02/11/2022,FEBRERO,2022,PERAVIA,NIZAO,SANTANA ABAJO,93944,ESTACIÓN DE COMBUSTIBLE,315.45,19431720
02/11/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,VILLA PROGRESO,92351,CENTROS DE SALUD,15602.71,961126936
02/11/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,CIUDAD JUAN BOSCH,92558,COMERCIAL Y OFICINAS,2167.9,124003880
02/11/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,EL CACHÓN DE LA RUBIA,93939,APARTAMENTOS,460.38,28359408
02/11/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA NACO,93943,APARTAMENTOS,9800.79,560605188
02/14/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BUENOS AIRES MIRADOR,93942,APARTAMENTOS,4078.58,251240528
02/14/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,VISTA HERMOSA,93114-R,APARTAMENTOS,0,0
02/15/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA JULIA,93685,VIVIENDAS,540,33264000
02/15/2022,FEBRERO,2022,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,93945,VIVIENDAS,315,19404000
02/15/2022,FEBRERO,2022,SANTIAGO,SANTIAGO, VISTA DEL CERRO,22443 RN,APARTAMENTOS,642.23,39561368
02/15/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,ENSANCHE CAONABO (LOS PLATANITOS),92479-A,APARTAMENTOS,0,0
02/15/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ALMA ROSA I,92028-A,APARTAMENTOS,0,0
02/16/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,MIRADOR SUR,93948,APARTAMENTOS,2751.1,169467760
02/16/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,VIEJO ARROYO HONDO,93947,APARTAMENTOS,4099.52,252530432
02/16/2022,FEBRERO,2022,ESPAILLAT,MOCA,VILLA ESMERALDA,22795 RN,APARTAMENTOS,1993.12,122776192
02/16/2022,FEBRERO,2022,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,00067 RY,VIVIENDAS,10682.4,658035840
02/16/2022,FEBRERO,2022,LA VEGA,LA VEGA,CAROLINA,00164 RCS,APARTAMENTOS,594.54,36623664
02/16/2022,FEBRERO,2022,MARÍA TRINIDAD SÁNCHEZ,LOMA DE CABRERA,LA ENTRADA,93949,ESTACIÓN DE COMBUSTIBLE,470.44,28979104
02/16/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LAS DIANAS,22796 RN,APARTAMENTOS,2337.79,144007864
02/16/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,93946,APARTAMENTOS,1269.96,78229536
02/17/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ALTOS DE ARROYO HONDO,93950,APARTAMENTOS,192,11827200
02/17/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CIUDAD UNIVERSITARIA,93795,COMBINADOS,520,32032000
02/17/2022,FEBRERO,2022,PUERTO PLATA,VILLA MONTELLANO,LA GRAN PARADA,93951,APARTAMENTOS,24250,1387100000
02/17/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,PERALTA,22797 RN,APARTAMENTOS,4290.42,264289872
02/18/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,90517-A,COMERCIAL Y OFICINAS,0,0
